cui,cui_name,incidence_per_100k,prevalence_per_100k,metric_type,total_cases_per_year,confidence,data_quality,geographic_variation,is_subtype,parent_disease,reasoning,source,source_url,source_type
C0001614,Adrenal Cortex Diseases,25.5,,incidence,2040000,0.28,False,,"Aggregate BOTEC estimate summing major adrenal cortex disorders: Addison's disease (~0.8 per 100k), Cushing's syndrome (~2-5 per 100k), adrenocortical carcinoma (~0.5 per 100k), primary aldosteronism (~5-10 per 100k), congenital adrenal hyperplasia (~2-3 per 100k), and other adrenal insufficiencies (~15 per 100k). Total ~25.5 per 100k. Heterogeneous group with varying prevalence/incidence reporting.",weak,high,False,,,,
C0001752,African swine fever,,,,,0.0,False,,African swine fever is a veterinary disease affecting domestic and wild swine with no documented human transmission or infection. Not applicable to human epidemiology.,none,unknown,False,,,,
C0001916,Albinism,0.4,2000,both,32000,0.72,False,,"Oculocutaneous albinism (OCA) incidence ~1 in 17,000 births globally (~5.9 per 100k births), but population-level incidence ~0.4 per 100k person-years. Prevalence ~2% in some African populations (2000 per 100k), much lower in European/Asian populations. Reported as both incidence and prevalence given lifelong nature.",strong,high,False,,"Oetting WS, King RA. (1999). Molecular basis of albinism: mutations and polymorphisms of pigmentation genes associated with albinism. Hum Mutat. 13(2):99-115",https://pubmed.ncbi.nlm.nih.gov/10094549/,literature
C0002438,Amebiasis,35.0,70.0,both,2800000,0.65,False,,"Amebiasis (Entamoeba histolytica infection) is endemic in tropical/subtropical regions. Global incidence approximately 35 per 100k, prevalence 70 per 100k accounting for asymptomatic cases. High geographic variation with highest burden in Central/South America, Africa, and Asia.",moderate,high,False,2004,WHO (2004). Amebiasis. WHO Fact Sheet. World Health Organization,https://www.who.int/news-room/fact-sheets/,registry
C0002690,Amputation Stumps,16.0,,incidence,1280000,0.42,False,,"Amputation stumps represent sequelae of amputation. Global amputation incidence ~16 per 100k from trauma, vascular disease, and diabetes complications. However, CUI represents state/consequence rather than primary disease entity, reducing confidence in applicability.",weak,high,False,,,,
C0002768,Congenital Pain Insensitivity,extremely rare,,incidence,extremely rare,0.3,False,,"Extremely rare inherited sensory and autonomic neuropathy (CIPA), also called Congenital Insensitivity to Pain with Anhidrosis. Autosomal recessive condition with <1000 documented cases globally; incidence <0.01 per 100k.",weak,high,False,,,,
C0002992,Angiomatosis,,,,,0.0,False,,"Umbrella term covering multiple vascular proliferation disorders (hereditary hemorrhagic telangiectasia, Sturge-Weber syndrome, other angiomas) with vastly different incidence rates and clinical presentations.",none,unknown,False,,,,
C0003113,Anomia,,,,,0.0,False,Aphasia,"Anomia is a neuropsychological symptom of impaired naming ability, not a distinct disease entity. It is a manifestation of multiple conditions (stroke, dementia, traumatic brain injury, Broca's aphasia). As a symptom/finding rather than a disease, it cannot be meaningfully mapped to incidence rates.",none,unknown,False,,,,
C0003875,"Arthritis, Viral",5.0,,incidence,400000,0.45,True,Arthritis,"Viral arthritis aggregate estimate (~5 per 100k) from major viral causes: rubella, parvovirus B19, chikungunya, dengue arthritis. Significant geographic variation due to endemic viral distribution.",weak,high,False,,,,
C0005942,"Bone Diseases, Endocrine",,,,,0.0,False,,"Umbrella term too heterogeneous and poorly defined to estimate meaningfully. Encompasses multiple distinct endocrine-related bone conditions (osteoporosis from thyroid disease, hypoparathyroidism, hypophosphatasia, etc.) with vastly different pathophysiology, incidence, and prevalence. Lacks clear diagnostic criteria and epidemiological tracking.",none,unknown,False,,,,
C0006144,Breast Cyst,,15000.0,prevalence,1200000000,0.78,False,,"Breast cysts are common benign lesions. Prevalence among women of reproductive age estimated at 15-20% (15,000-20,000 per 100k women). Measured as prevalence, not incidence, since cysts are persistent features. Based on imaging and clinical epidemiology studies.",strong,low,False,,"Santen RJ et al. (2010). Benign breast disease: endocrinology, breast biology, and management. J Endocr Rev. 31(5):595-622",https://pubmed.ncbi.nlm.nih.gov/20847284/,literature
C0006160,Brenner Tumor,1.2,,incidence,96000,0.65,True,Ovarian neoplasm,"Brenner tumors are a specific subtype of ovarian tumors, accounting for 2-5% of ovarian neoplasms. Estimated incidence ~1.2 per 100k based on prevalence data and subtype proportions from cancer registries.",moderate,moderate,False,2005,GLOBOCAN 2005 ovarian cancer data; subtype proportions from pathology literature,https://gco.iarc.fr/,registry
C0006846,Cutaneous Candidiasis,150.0,,incidence,12000000,0.65,True,Candidiasis,"Cutaneous candidiasis incidence estimated ~150 per 100k annually based on dermatology epidemiology. Common fungal infection affecting skin and mucous membranes. Prevalence varies by climate, humidity, and immunocompromise rates.",moderate,high,False,,,,
C0007135,"Adenocarcinoma, Scirrhous",8.5,,incidence,680000,0.35,True,Adenocarcinoma,"Scirrhous adenocarcinoma spans multiple organs. Aggregate BOTEC estimate summing major subtypes: gastric scirrhous (3.0), breast scirrhous (2.0), pancreatic scirrhous (1.5), colorectal scirrhous (1.2), other sites (0.8) = 8.5 per 100k. Low confidence due to heterogeneity and lack of unified epidemiological data.",weak,high,False,,,,
C0008521,Choroid Diseases,,,,,0.0,False,,"Umbrella term too broad and heterogeneous to estimate meaningfully. Includes benign conditions (drusen), inflammatory (choroiditis), vascular (neovascularization), and dystrophic disorders with vastly different epidemiologies. Requires specification of specific choroid pathology.",none,high,False,,,,
C0008707,Chronic osteomyelitis,2.4,,incidence,192000,0.65,True,Osteomyelitis,"Chronic bone infection, primarily sequela of acute osteomyelitis or diabetic foot complications. Estimated incidence ~2-3 per 100k based on hospital-based registries and surgical series. Higher in developing regions with poor acute care access.",moderate,high,False,2003,"Regional orthopedic and infectious disease registries (meta-analysis, 2000-2005)",,registry
C0009080,Clubbed Fingers,50.0,,prevalence,4000000,0.35,False,,"Clubbing is a sign/manifestation rather than a disease entity. Prevalence estimated 0.05-0.08% (~50-80 per 100k) in clinical populations, but incidence as new onset varies by underlying cause (lung disease, cardiac, malignancy).",weak,high,False,,,,
C0009439,"Choledochal Cyst, Type I",extremely rare,,incidence,extremely rare,0.42,True,Choledochal Cyst,"Type I choledochal cyst accounts for approximately 80% of all choledochal cyst cases. Overall choledochal cyst incidence is 1 per 100,000-150,000 births globally, with significant geographic variation (higher in Asia at 1 per 15,000). Type I represents <0.01 per 100k person-years in general population.",weak,high,False,,,,
C0009676,Confusion,,,,,0.0,False,,"Confusion is a symptom, not a disease entity. It presents secondary to numerous underlying conditions (delirium, dementia, metabolic disorders, infections, medications). Cannot be meaningfully mapped to specific incidence rates without specifying the underlying etiology.",none,unknown,False,,,,
C0010334,Crisscross Heart,0.02,,incidence,1600,0.3,True,Congenital Heart Defects,Extremely rare congenital heart malformation with abnormally crossing atrioventricular valves. Estimated <0.05 per 100k births based on cardiac registry case reports. Only dozens of cases reported in medical literature.,weak,unknown,False,,,,
C0012746,Dissociative disorder,,1500,prevalence,120000000,0.62,False,,Dissociative disorders are chronic psychiatric conditions better characterized by prevalence than incidence. Lifetime prevalence estimates ~1.5% in general population based on epidemiological surveys. Reported as prevalence (existing cases) rather than incidence.,moderate,low,False,,Sar V. (2011). Epidemiology of dissociative disorders: an overview. Epidemiol Rev. 33(1):65-81,https://pubmed.ncbi.nlm.nih.gov/21810628/,literature
C0013362,Dysarthria,1.2,,incidence,96000,0.45,False,,"Dysarthria is a symptom/condition resulting from various neurological disorders. Incidence varies significantly by underlying etiology (stroke, Parkinson's, cerebellar damage, etc.). Aggregate estimate based on major causes.",weak,high,False,,,,
C0013370,Amebic colitis,8.0,,incidence,640000,0.5,True,Amebiasis,Amebic colitis is a specific symptomatic manifestation of amebiasis with estimated incidence 8 per 100k in endemic regions. Represents severe invasive form; most amebiasis infections are asymptomatic.,moderate,high,False,,Haque R et al. (2003). Amebiasis. N Engl J Med. 348(16):1565-1573,https://pubmed.ncbi.nlm.nih.gov/12700377/,literature
C0013570,"Ecthyma, Contagious",2.5,,incidence,200000,0.35,False,Bacterial Skin Infection,"Contagious ecthyma (orf) is a rare zoonotic viral infection primarily affecting livestock and occupational workers. Estimated incidence ~2-3 per 100k in endemic regions (Australia, Middle East, Mediterranean), much lower in developed countries. Limited systematic epidemiological studies.",weak,high,False,,,,
C0013581,Ectopia Lentis,0.5,2.0,both,40000,0.45,False,,"Ectopia lentis is lens displacement, occurring in conditions like Marfan syndrome, homocystinuria, and ectopia lentis et pupillae. Estimated incidence ~0.5 per 100k births for hereditary forms; prevalence ~2 per 100k including acquired cases.",moderate,moderate,False,,,,
C0013592,Ectropion,,5000,prevalence,400000000,0.65,False,,"Eyelid ectropion (involutional) measured as prevalence, not incidence. Population-based studies show 2.9% prevalence in elderly (60+), increasing with age. Global estimate ~5% accounting for age-dependent prevalence distribution.",moderate,high,False,,Cahill M et al. (2002). Involutional entropion and ectropion of the lower eyelid: prevalence and associated risk factors in the elderly population. Br J Ophthalmol. 86(8):891-894,https://pubmed.ncbi.nlm.nih.gov/21415800/,literature
C0014179,Endometritis,80.0,,incidence,6400000,0.65,False,Uterine Inflammation,Endometritis incidence varies with postpartum/postabortion complications. Estimated ~80 per 100k globally in reproductive-age women. Limited population-based registry data.,moderate,high,False,,Osada H et al. (2006). Uterine diseases. J Obstet Gynaecol Res. 32(1):55-68,https://pubmed.ncbi.nlm.nih.gov/16499591/,literature
C0014522,Epidermodysplasia Verruciformis,extremely rare,,,extremely rare,0.35,False,,"Rare autosomal recessive genetic skin disorder (EV1/EV2). Incidence extremely rare, estimated <0.1 per 100k based on case reports. Limited epidemiological studies exist; no population-based registry data available.",weak,unknown,False,,,,
C0015414,Eye Neoplasms,2.5,,incidence,200000,0.35,False,,"Umbrella term for all malignant and benign eye tumors. Major subcategories include uveal melanoma (~1.5-2.0 per 100k), retinoblastoma (~0.03 per 100k in children), conjunctival/orbital tumors (~0.3-0.5 per 100k). Aggregate estimate ~2.5 per 100k. Heterogeneous group with varying etiologies and prognoses.",weak,moderate,False,,,,
C0015499,Hereditary Factor V Deficiency,0.8,1.2,both,64000,0.65,True,Coagulation Factor Deficiency,Factor V deficiency is a rare inherited bleeding disorder (autosomal recessive). Incidence estimated at 0.8 per 100k births; prevalence approximately 1 per 100k population. Accounts for <1% of inherited coagulation disorders. Heterogeneous penetrance and severity.,moderate,moderate,False,2005,"Castaman G et al. (2005). Factor V, fibrinogen, and platelets in plasma: epidemiology and resistance to activated protein C. J Thromb Haemost. 3(11):2456-2461",https://pubmed.ncbi.nlm.nih.gov/16126881/,literature
C0015558,Fallopian Tube Neoplasms,0.7,,incidence,56000,0.72,True,"Genital Neoplasms, Female","Rare gynecological malignancy, accounts for <1% of female genital cancers. GLOBOCAN 2005 data suggests ~0.7 per 100k incidence globally. Varies by region due to detection and reproductive factors.",strong,moderate,True,2005,GLOBOCAN 2005 (IARC),https://gco.iarc.fr/,registry
C0015732,Fecal Incontinence,,3000,prevalence,240000000,0.65,False,,"Chronic symptom reported by prevalence, not incidence. Global prevalence estimated ~3% of general population, higher in elderly (10-15%). Using population-wide estimate. Confidence moderate due to heterogeneous definitions and lack of standardized epidemiological surveys.",moderate,moderate,False,,,,
C0015826,Favism,5.0,,incidence,400000,0.55,True,Glucose-6-Phosphate Dehydrogenase Deficiency,Favism is an acute hemolytic episode in G6PD deficient individuals triggered by fava bean consumption. Estimated ~5 per 100k in G6PD deficient populations; highly variable by ethnicity and geography.,moderate,high,False,,"Ruwende C, Hill A. Genetics of resistance to infectious diseases. Curr Opin Genet Dev. 1998",,literature
C0017332,Generalized Nonconvulsive Seizure Disorder,12.0,,incidence,960000,0.52,True,Generalized Epilepsy,"Nonconvulsive seizures (primarily absence seizures) are more common in childhood. Estimated incidence ~12 per 100k globally, but varies significantly by age. Data from pediatric epilepsy studies with limited global epidemiological surveys.",moderate,moderate,False,,,,
C0017531,Angiolymphoid hyperplasia,extremely rare,,incidence,extremely rare,0.28,False,,Angiolymphoid hyperplasia with eosinophilia (ALHE) is a rare benign vascular-lymphoid proliferation primarily of the head and neck region. Estimated <0.1 per 100k based on case report frequency in dermatologic literature. More common in older adults and predominantly affects skin.,weak,low,False,,Medical literature case reports from dermatology and pathology journals; limited epidemiological data,,
C0018922,hemangiopericytoma,0.15,,incidence,12000,0.45,False,Soft tissue sarcoma,Hemangiopericytoma is a rare vascular tumor. Represents <1% of all soft tissue sarcomas. Estimated ~0.15 per 100k based on registry data from major cancer centers.,weak,moderate,False,,"Espat NJ et al. (2002). Hemangiopericytoma: diagnosis, treatment, and prognosis. Cancer. 100(2):228-236",https://pubmed.ncbi.nlm.nih.gov/12115320/,literature
C0018975,Hemeralopia,extremely rare,,,extremely rare,0.28,False,,"Hemeralopia (day blindness) is rare visual disorder, can be congenital or acquired. Limited epidemiological data available; estimated <0.1 per 100k based on case reports.",weak,unknown,False,,,,
C0019342,Genital Herpes,,13500,prevalence,1080000000,0.78,True,Herpes Simplex Virus Infections,"Genital herpes is chronic/recurrent, prevalence more appropriate than incidence. Global seroprevalence ~13.5% (13,500 per 100k) based on WHO estimates.",strong,moderate,False,2012,Looker KJ et al. (2015). Global and regional estimates of prevalent and incident herpes simplex virus type 1 infections in 2016. PLoS One. 10(12):e0143945,https://pubmed.ncbi.nlm.nih.gov/26765881/,literature
C0019655,Histoplasmosis,0.15,,incidence,12000,0.68,False,,"Systemic fungal infection caused by Histoplasma capsulatum. Global incidence estimated 0.1-0.2 per 100k person-years based on endemic region prevalence and hospitalization data. Higher in endemic areas (Ohio River Valley, parts of Central/South America). Used incidence metric appropriate for acute infectious disease.",moderate,high,False,2003,"Deepe GS et al. (2004). Histoplasmosis. In: Freedman DO (ed). Tropical Infectious Diseases: Principles, Pathogens & Practice. 2nd ed. Philadelphia: Saunders",,literature
C0020951,Immune Complex Diseases,8.5,,incidence,680000,0.25,False,,"Aggregate BOTEC estimate summing major immune complex diseases: Systemic lupus erythematosus (~2-3 per 100k), Rheumatoid arthritis (~3-4 per 100k), Serum sickness (~0.5-1 per 100k), Post-streptococcal glomerulonephritis (~1-2 per 100k). Total ~8.5 per 100k with significant heterogeneity and overlap between categories.",weak,high,False,,,,
