cui,cui_name,incidence_per_100k,prevalence_per_100k,metric_type,total_cases_per_year,confidence,data_quality,geographic_variation,is_subtype,parent_disease,reasoning,source,source_url,source_type
C0039496,Temporomandibular Joint Dysfunction Syndrome,,8500,prevalence,680000000,0.62,moderate,high,False,,"TMD measured as prevalence rather than incidence due to chronic nature and poorly defined onset. Estimates from dental epidemiology studies suggest 8-10% population prevalence (8,500 per 100k). Significant variation in definition and diagnostic criteria across studies affects confidence.",Multiple dental epidemiology surveys (prevalence range 5-12% globally),,literature
C4025276,Congenital lactic acidosis,extremely rare,,incidence,extremely rare,0.25,weak,unknown,False,Mitochondrial disorders,"Aggregate umbrella term encompassing multiple genetic etiologies (mitochondrial cytopathies, pyruvate dehydrogenase deficiency, other metabolic disorders). Individual subtypes have incidence <0.1 per 100k. Estimated aggregate ~0.5 per 100k births based on case frequency of component disorders.",,,
C0432125,Bicoronal craniosynostosis,0.8,,incidence,64000,0.45,moderate,low,True,Craniosynostosis,"Bicoronal (bilateral coronal suture) craniosynostosis is a subtype of craniosynostosis, commonly associated with Apert syndrome. Birth defect registries estimate ~0.8 per 100k births for this specific subtype. Limited to birth incidence data; comprehensive surveillance limited.",Birth defect surveillance and registry estimates,,registry
C4521591,Peripheral precocious puberty,2.1,,incidence,168000,0.55,moderate,moderate,True,Precocious puberty,Peripheral precocious puberty (PPP) represents 25-30% of all precocious puberty cases in children. Estimated incidence ~2 per 100k children based on pediatric endocrinology surveillance data. Most data from developed countries; limited data from resource-limited settings.,Pediatric endocrinology surveillance and population-based studies,,registry
C0018013,Gnathostomiasis,0.5,,incidence,40000,0.35,weak,high,False,,Parasitic infection endemic to Southeast Asia. Estimated 0.5-1 per 100k in endemic regions based on hospital surveillance data. Global estimate ~0.5 per 100k but highly concentrated geographically.,,,
C2931071,Mixed connective tissue disease,0.8,3.5,both,280000,0.58,moderate,moderate,False,,"Systemic autoimmune disorder. Incidence ~0.8 per 100k, prevalence ~3.5 per 100k. Female predominance (4:1). Limited high-quality epidemiological data.",,,
C0235272,Retinal damage,,45,prevalence,3600000,0.45,weak,high,False,,"Retinal damage is a symptom/condition rather than a specific disease entity. Prevalence estimates vary widely based on cause (diabetic retinopathy, age-related macular degeneration, etc.). Conservative estimate of 45 per 100k based on aggregate of major retinal pathologies.",,,
C3150802,"MYOPATHY, LACTIC ACIDOSIS, AND SIDEROBLASTIC ANEMIA 2",extremely rare,,prevalence,extremely rare,0.25,weak,unknown,True,Mitochondrial disorders,Rare genetic mitochondrial disorder (MLASA2). Fewer than 50 confirmed cases worldwide. Estimated <0.01 per 100k births based on case reports and genetic registry data.,,,
C3553886,"MICROCEPHALY 9, PRIMARY, AUTOSOMAL RECESSIVE",extremely rare,,incidence,extremely rare,0.2,weak,unknown,True,Primary microcephaly,Extremely rare autosomal recessive microcephaly subtype. Part of the heterogeneous primary microcephaly group. Estimated <0.01 per 100k births based on genetic databases. Limited epidemiological data available.,,,
C3150880,CHROMOSOME 17q23.1-q23.2 DUPLICATION SYNDROME,extremely rare,,incidence,extremely rare,0.15,none,unknown,True,Chromosomal abnormalities,Extremely rare structural chromosomal abnormality. Only a handful of reported cases in medical literature. Estimated <0.001 per 100k births. Minimal systematic epidemiological data.,,,
C3150801,COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 7,extremely rare,,prevalence,extremely rare,0.2,weak,unknown,True,Mitochondrial disorders,Rare mitochondrial genetic disorder (COXPD7). Fewer than 30 confirmed cases worldwide. Estimated <0.01 per 100k births based on case reports from genetic registries.,,,
C3539506,"Spastic Paraplegia 55, Autosomal Recessive",extremely rare,,incidence,extremely rare,0.25,weak,unknown,True,Spastic Paraplegia,SPG55 is an extremely rare autosomal recessive genetic disorder; fewer than 10 families reported worldwide. No systematic epidemiological studies available; estimate <0.01 per 100k births based on case report frequency.,,,
